Persona,Music app,Ad,count,unique
Fashion Style,Spotify,Disney Plus,1,FALSE
Fashion Style,Spotify,Xfinity,1,FALSE
Fashion Style,Pandora,Disney Plus,1,FALSE
Fashion Style,Pandora,Xfinity,2,FALSE
Fashion Style,Pandora,Clear Blue Digital pregnancy tests,1,FALSE
Fashion Style,Pandora,Chick-Fil-A,3,FALSE
Fashion Style,Pandora,Discover,7,FALSE
Fashion Style,Pandora,TurboTax,2,FALSE
Fashion Style,Pandora,Toyotas,1,FALSE
Fashion Style,Pandora,Panera,1,Fashion Style
Fashion Style,Pandora,Burlington,4,FALSE
Fashion Style,Pandora,Geico,3,FALSE
Fashion Style,Pandora,Wendy,1,Fashion Style
Fashion Style,Pandora,AT&T,1,FALSE
Fashion Style,Pandora,Indeed,3,FALSE
Fashion Style,Pandora,TurboTax,3,FALSE
Fashion Style,Pandora,Swiffer Wet Jet,3,Fashion Style
Fashion Style,Pandora,Taco Bell,3,FALSE
Fashion Style,Pandora,the University of Arizona,1,Fashion Style
Fashion Style,Pandora,Kohl's,3,FALSE
Fashion Style,Pandora,Carmax,2,FALSE
Fashion Style,Pandora,Penn State World Campus,2,FALSE
